"partner","description","cif_value_cedi","net_weight_kg","net_weight_cedi_kg","share_percent"
"NETHERLAND","Carbon papeer, self-copy paper and other copying or transfer papers",543999,290,1876,0
"UNITED KIN","Carbon papeer, self-copy paper and other copying or transfer papers",36113053,18826,1918,0
"UNITED STA","Carbon papeer, self-copy paper and other copying or transfer papers",18518137,34430,538,0
"BELGIUM","Toilet paper, cut to size, in rolls or in sheets",219440,600,366,0
"BRAZIL","Toilet paper, cut to size, in rolls or in sheets",6838656,9930,689,0
"GERMANY, F","Toilet paper, cut to size, in rolls or in sheets",4808,5,962,0
"INDONESIA","Toilet paper, cut to size, in rolls or in sheets",1522333,3249,469,0
"ITALY","Toilet paper, cut to size, in rolls or in sheets",18346610,10475,1751,0
"KOREA DEMO","Toilet paper, cut to size, in rolls or in sheets",120801,70,1726,0
"LEBANON","Toilet paper, cut to size, in rolls or in sheets",2244873,3160,710,0
"NETHERLAND","Toilet paper, cut to size, in rolls or in sheets",1591556,6480,246,0
"SINGAPORE","Toilet paper, cut to size, in rolls or in sheets",1370280,440,3114,0
"UNITED KIN","Toilet paper, cut to size, in rolls or in sheets",29463779,32556,905,0
"UNITED KIN","Toilet paper, cut to size, in rolls or in sheets",3898488,2145,1817,0
"AUSTRALIA","Gummed or adhesive paper, in strips or rolls",76365,2,38183,0
"CHINA","Gummed or adhesive paper, in strips or rolls",10310756,10835,952,0
"TAIWAN, PR","Gummed or adhesive paper, in strips or rolls",4134136,7628,542,0
"GERMANY, F","Gummed or adhesive paper, in strips or rolls",2504836,2536,988,0
"HONG KONG","Gummed or adhesive paper, in strips or rolls",2101023,5400,389,0
"LEBANON","Gummed or adhesive paper, in strips or rolls",1920796,206,9324,0
"NETHERLAND","Gummed or adhesive paper, in strips or rolls",5941206,2479,2397,0
"SINGAPORE","Gummed or adhesive paper, in strips or rolls",259632,1400,185,0
"UNITED KIN","Gummed or adhesive paper, in strips or rolls",11181779,22566,496,0
"UNITED STA","Gummed or adhesive paper, in strips or rolls",594990,30,19833,0
"GERMANY, F","Filter paper and paperboard, cut to size",635710008,5012,12684,0
"ITALY","Filter paper and paperboard, cut to size",965206,130,7425,0
"NETHERLAND","Filter paper and paperboard, cut to size",2930216,260,11270,0
"UNITED KIN","Filter paper and paperboard, cut to size",271999,50,5440,0
"BELGIUM","Paper and paperboard, for writing, printing, etc, cut to size, nes",50160,126,398,0
"DENMARK","Paper and paperboard, for writing, printing, etc, cut to size, nes",64874,600,108,0
"GERMANY, F","Paper and paperboard, for writing, printing, etc, cut to size, nes",1432779,383,3741,0
"ITALY","Paper and paperboard, for writing, printing, etc, cut to size, nes",1055820,219,4821,0
"COTE D' IVO","Paper and paperboard, for writing, printing, etc, cut to size, nes",349181,33,10581,0
"JAPAN","Paper and paperboard, for writing, printing, etc, cut to size, nes",356449,30,11882,0
"NETHERLAND","Paper and paperboard, for writing, printing, etc, cut to size, nes",3489288,2190,1593,0
"SWEDEN","Paper and paperboard, for writing, printing, etc, cut to size, nes",158063,99,1597,0
"UNITED KIN","Paper and paperboard, for writing, printing, etc, cut to size, nes",28753126,409627,70,0
"UNITED STA","Paper and paperboard, for writing, printing, etc, cut to size, nes",5436472,2888,1882,0
"UNITED KIN","Bobbins, spools, cops and similar supports of paper pulp, paper . . .",3248231,265,12257,0
"GERMANY, F","Cards, not punched, for punch card machines",36035,18,2002,0
"UNITED KIN","Cards, not punched, for punch card machines",3769012,150,25127,0
"GERMANY, F","Trays, dishes; plates, cups and the like, of paper or paperboard",231385,900,257,0
"ITALY","Trays, dishes; plates, cups and the like, of paper or paperboard",83448,280,298,0
"UNITED KIN","Trays, dishes; plates, cups and the like, of paper or paperboard",1555592,647,240,0
"UNITED STA","Trays, dishes; plates, cups and the like, of paper or paperboard",10888273,8327,1308,0
"AUSTRALIA","Handkerchiefs, cleansing tissues, towels, etc, of paper or paperboard",3455661,160,21598,0
"BELGIUM","Handkerchiefs, cleansing tissues, towels, etc, of paper or paperboard",5666876,2020,2805,0
"TAIWAN, PR","Handkerchiefs, cleansing tissues, towels, etc, of paper or paperboard",9174119,10330,888,0
"FRANCE","Handkerchiefs, cleansing tissues, towels, etc, of paper or paperboard",127412,100,1274,0
"GERMANY, F","Handkerchiefs, cleansing tissues, towels, etc, of paper or paperboard",1049675,408,2573,0
"HONG KONG","Handkerchiefs, cleansing tissues, towels, etc, of paper or paperboard",22850929,43440,526,0
"ITALY","Handkerchiefs, cleansing tissues, towels, etc, of paper or paperboard",1246474,3000,415,0
"JAPAN","Handkerchiefs, cleansing tissues, towels, etc, of paper or paperboard",3606,45,80,0
"LEBANON","Handkerchiefs, cleansing tissues, towels, etc, of paper or paperboard",182435,630,290,0
"NETHERLAND","Handkerchiefs, cleansing tissues, towels, etc, of paper or paperboard",2679419,72153,37,0
"SWIZERLAN","Handkerchiefs, cleansing tissues, towels, etc, of paper or paperboard",165842,50,3317,0
"UNITED KIN","Handkerchiefs, cleansing tissues, towels, etc, of paper or paperboard",2019819,11164,181,0
"UNITED STA","Handkerchiefs, cleansing tissues, towels, etc, of paper or paperboard",62125489,53603,1159,0
"FRANCE","Sanitary towels and tampons, napkins, etc of paper or paperboard",73322,40,1833,0
"GERMANY, F","Sanitary towels and tampons, napkins, etc of paper or paperboard",89581,432,207,0
"HONG KONG","Sanitary towels and tampons, napkins, etc of paper or paperboard",4086800,2000,2043,0
"ITALY","Sanitary towels and tampons, napkins, etc of paper or paperboard",4408936,3700,1192,0
"UNITED KIN","Sanitary towels and tampons, napkins, etc of paper or paperboard",6091678,10745,567,0
"UNITED STA","Sanitary towels and tampons, napkins, etc of paper or paperboard",16538,116,143,0
"AUSTRAILA","Other articles of paper pulp; paper, paperboard, cellulose wadding, nes",486293,10,48629,0
"CZECHOSLOV","Other articles of paper pulp; paper, paperboard, cellulose wadding, nes",165876,200,829,0
"DENMARK","Other articles of paper pulp; paper, paperboard, cellulose wadding, nes",2215197,91,24343,0
"GERMANY, F","Other articles of paper pulp; paper, paperboard, cellulose wadding, nes",4101039,1040,3943,0
"HONG KONG","Other articles of paper pulp; paper, paperboard, cellulose wadding, nes",2512634,345,7283,0
"NETHERLAND","Other articles of paper pulp; paper, paperboard, cellulose wadding, nes",9543639,1848,5164,0
"UNITED KIN","Other articles of paper pulp; paper, paperboard, cellulose wadding, nes",8143363,10196,799,0
"UNITED STA","Other articles of paper pulp; paper, paperboard, cellulose wadding, nes",14867733,16220,917,0
"TAIWAN, PR","Yarn of carded wool, containing 85% or more by weight of wool nprs",20071597,6555,3062,0
"INDIA","Yarn of fine animal hair (carded or combed), nprs",367010,80,4588,0
"FRANCE","Cotton sewing thread, not put up for retail sale",669028,50,13381,0
"HONG KONG","Cotton sewing thread, not put up for retail sale",9386622,19200,489,0
"SINGAPORE","Cotton sewing thread, not put up for retail sale",5790635,9000,643,0
"UNITED KIN","Cotton sewing thread, not put up for retail sale",453776,750,605,0
"CHINA","Cotton sewing thread, put up for retail sale",287278,8,35910,0
"HONG KONG","Cotton sewing thread, put up for retail sale",8640577,16270,531,0
"EGYPT","Cotton sewing thread, put up for retail sale",558930,160,3493,0
"UNITED KIN","Cotton sewing thread, put up for retail sale",736837,1670,441,0
"CHINA","Cotton yarn (excl. sewing thread) with >=85% cotton, for retail sale",41884068,21000,1994,0
"GERMANY, F","Other cotton yarn, put up for retail sale, nes",4333578,21000,206,0
"HONG KONG","Other cotton yarn, put up for retail sale, nes",40326499,10000,4033,0
"UNITED STA","Other cotton yarn, put up for retail sale, nes",2488350,76,32741,0
"CHINA","Cotton yarn (excl. sewing thread), with >=85% cotton, for retail sale",5995576,2910,2060,0
"HONG KONG","Cotton yarn (excl. sewing thread), with >=85% cotton, for retail sale",4920384,19420,253,0
"PAKISTAN","Cotton yarn (excl. sewing thread), with >=85% cotton, for retail sale",79558577,44760,1777,0
"UNITED KIN","Cotton yarn (excl. sewing thread), with >=85% cotton, for retail sale",462433,290,1595,0
"LEBANON","Cotton yarn (excl. sewing thread), with >=85% cotton, for retail sale",59622458,55980,1065,0
"GERMANY, F","Sewing thread of synthetic filaments",3297553,200,16488,0
"HONG KONG","Sewing thread of synthetic filaments",1256352,260,4832,0
"INDIA","Sewing thread of synthetic filaments",1277726,900,1420,0
"SAUDI ARAB","Sewing thread of synthetic filaments",537294,6,89549,0
"UNITED KIN","Sewing thread of synthetic filaments",401069,230,1744,0
"NETHERLAND","Sewing thread of artificial  filaments",557,18,31,0
"CHINA","Sewing thread of synthetic staple fibres",11700869,5000,2340,0
"FRANCE","Sewing thread of synthetic staple fibres",12020,50,240,0
"GERMANY, F","Sewing thread of synthetic staple fibres",4241284,120,35344,0
"UNITED KIN","Sewing thread of synthetic staple fibres",141235,60,2354,0
"SPAIN","Sewing thread of artificial staple fibres",964004,99,9737,0
"GERMANY, F","Textured yarn of polyesters, npres",117637937,80373,1464,0.01
"PORTUGAL","Textured yarn of polyesters, npres",70854895,49915,1420,0
"UNITED KIN","Textured yarn of polyesters, npres",123806,3500,35,0
"TOGO","Other synthetic filament yarn (excl. sewing thead), nes, nprs",400266,380,1053,0
"GERMANY, F","High tenacity yarn of nylon, other polyamides or of polyesters, nprs",1848186,35,52805,0
"ICELAND","Other yarn, multiple (folded) or cabled, not put up for retail sale",308914,155,1993,0
"UNITED KIN","Other yarn, multiple (folded) or cabled, not put up for retail sale",71853,90,798,0
"GERMANY, F","Yarn, single, of viscose rayon, with =<120turns/m, nprs",666546,32,20830,0
"HONG KONG","Yarn, single, of viscose rayon, with =<120turns/m, nprs",3783896,5000,757,0
"NIGERIA","Yarn, (excl. sewing thread) with >=85% staple fibres, for retail sale",11514720,7511,1533,0
"INDONESIA","Yarn, (excl. sewing thread) with >=85% staple fibres, nprs",10417133,5150,2023,0
"UNITED KIN","Yarn, (excl. sewing thread) with >=85% staple fibres, nprs",9066988,3500,2591,0
"ITALY","Yarn, (excl. sewing thread) with >85% staple fibres, nprs",2841528,200,14208,0
"JAPAN","Yarn, (excl. sewing thread) with >85% staple fibres, nprs",1131489,171,6617,0
"LEBANON","Yarn, (excl. sewing thread) with >85% staple fibres, nprs",678529,780,870,0
"AUSTRIA","Synthetic monofilament of >=67 decitex",10026936,10000,1003,0
"UNITED KIN","Synthetic monofilament of >=67 decitex",9432,4,2358,0
"GERMANY, F","Metallized yarn, being textile yarn, or strip, etc, in thread",9259011,26462,350,0
"JAPAN","Metallized yarn, being textile yarn, or strip, etc, in thread",21968616,3525,6232,0
"BELGIUM","Other terry towelling and similar woven terry fabrics, of cotton",1736726,4500,386,0
"GERMANY, F","Other terry towelling and similar woven terry fabrics, of cotton",75101,455,165,0
"INDIA","Other terry towelling and similar woven terry fabrics, of cotton",5503872,4776,1152,0
"THAILAND","Other terry towelling and similar woven terry fabrics, of cotton",366610,80,4583,0
"TOGO","Other terry towelling and similar woven terry fabrics, of cotton",3979822,4500,884,0
"EGYPT","Other terry towelling and similar woven terry fabrics, of cotton",30050,240,125,0
"UNITED KIN","Other terry towelling and similar woven terry fabrics, of cotton",99107,70,1416,0
"UNITED STA","Other terry towelling and similar woven terry fabrics, of cotton",7099012,1000,7099,0
"UNITED KIN","Other pile fabrics and chenille fabrics, woven, of cotton (other than",8349433,753,11088,0
"CHINA","Woven fabrics of cotton, with >=85% cotton, <200g/m2, unbleached",112757801,50372,2239,0.01
"GERMANY, F","Woven fabrics of cotton, with >=85% cotton, <200g/m2, unbleached",337050,77,4377,0
"PAKISTAN","Woven fabrics of cotton, with >=85% cotton, <200g/m2, unbleached",218768472,89166,2453,0.01
"UNITED KIN","Woven fabrics of cotton, with >=85% cotton, <200g/m2, unbleached",3204067,528,6068,0
"HONG KONG","Woven fabrics of cotton, with >=85% cotton, >=200g/m2, unbleached",2428641,422,5755,0
"NETHERLAND","Woven fabrics of cotton, with >=85% cotton, >=200g/m2, unbleached",13188473,1508,8746,0
"UNITED KIN","Woven fabrics of cotton, with >=85% cotton, >=200g/m2, unbleached",15626,100,156,0
"HONG KONG","Woven cotton, fabrics with man-made fibrics and 85% cotton, =<200g/m2",342570,15000,23,0
"UNITED KIN","Woven cotton, fabrics with man-made fibrics and 85% cotton, =<200g/m2",561876,200,2809,0
"NIGERIA","Woven cotton, fabrics with man-made fibrics with  85% cotton, >200g/m2",800632,7000,114,0
"THAILAND","Woven cotton, fabrics with man-made fibrics with  85% cotton, >200g/m2",2741762,1843,1488,0
"UNITED KIN","Woven cotton, fabrics with man-made fibrics with  85% cotton, >200g/m2",535535,25,21421,0
"GERMANY, F","Unbleached woven fabrics of cotton, =<200g/m2, nes",134045,70,1915,0
"INDIA","Unbleached woven fabrics of cotton, =<200g/m2, nes",242343994,103869,2333,0.01
"CHINA","Unbleached woven fabrics of cotton, <200g/m2, nes",26094819,14900,1751,0
"CHINA","Bleached woven cotton fabrics, nes, with >= 85% cotton, <200g/m2",5156580,4400,1172,0
"INDIA","Bleached woven cotton fabrics, nes, with >= 85% cotton, <200g/m2",75027688,57118,1314,0
"CHINA","Dyed woven cotton fabrics, nes, with >=85% cotton, <200g/m2",359783021,71290,5047,0.02
"KOREA REPU","Dyed woven cotton fabrics, nes, with >=85% cotton, <200g/m2",120679598,23013,5244,0.01
"UNITED KIN","Dyed woven cotton fabrics, nes, with >=85% cotton, <200g/m2",1480864,2000,740,0
"UNITED STA","Dyed woven cotton fabrics, nes, with >=85% cotton, <200g/m2",7055740,2311,3053,0
"BELGIUM","Coloured woven cotton fabrics, nes, with >= 85% cotton, <200g/m2",56644,70,809,0
"CHINA","Coloured woven cotton fabrics, nes, with >= 85% cotton, <200g/m2",16511273,5562,2969,0
"INDIA","Coloured woven cotton fabrics, nes, with >= 85% cotton, <200g/m2",73495789,6896705,11,0
"UNITED STA","Coloured woven cotton fabrics, nes, with >= 85% cotton, <200g/m2",188714,18,10484,0
"BELGIUM","Printed woven cotton fabrics, nes, with >= 85% cotton, <200g/m2",117796,35,3366,0
"CHINA","Printed woven cotton fabrics, nes, with >= 85% cotton, <200g/m2",830825033,277811,2991,0.04
"INDONESIA","Printed woven cotton fabrics, nes, with >= 85% cotton, <200g/m2",67672279,26596,2544,0
"COTE D' IVO","Printed woven cotton fabrics, nes, with >= 85% cotton, <200g/m2",230349822,29392,7837,0.01
"JAPAN","Printed woven cotton fabrics, nes, with >= 85% cotton, <200g/m2",91515957,27905,3280,0
"NETHERLAND","Printed woven cotton fabrics, nes, with >= 85% cotton, <200g/m2",209776264,11790,17793,0.01
"UNITED KIN","Printed woven cotton fabrics, nes, with >= 85% cotton, <200g/m2",5089752,1460,3486,0
"UNITED STA","Printed woven cotton fabrics, nes, with >= 85% cotton, <200g/m2",13130648,39683,331,0
"GERMANY, F","Bleached woven fabrics of cotton, with >= >=85% cotton, >=200g/m2",720376,120,6003,0
"SWITZERLAN","Bleached woven fabrics of cotton, with >= >=85% cotton, >=200g/m2",5569467,636,8757,0
"UNITED KIN","Bleached woven fabrics of cotton, with >= >=85% cotton, >=200g/m2",2935375,1000,2935,0
"GERMANY, F","Dyed woven fabrics of cotton, with >=85% cotton, >= 200g/m2",22896898,13482,1698,0
"INDONESIA","Dyed woven fabrics of cotton, with >=85% cotton, >= 200g/m2",75855816,40323,1881,0
"UNITED STA","Dyed woven fabrics of cotton, with >=85% cotton, >= 200g/m2",27294415,18850,1448,0
"CHINA","Denim, with >=85% cotton, >=200g/m2",414309288,189200,2190,0.02
"PAKISTAN","Denim, with >=85% cotton, >=200g/m2",414309514,130983,2415,0.02
"UNITED KIN","Denim, with >=85% cotton, >=200g/m2",27045,300,90,0
"GERMANY, F","Coloured woven fabrics of cotton, with >=85% cotton, >=200g/m2",230068,31,7422,0
"AUSTRIA","Printed woven fabrics of cotton, with >=85% cotton, >=200g/m2",230707,322,946,0
"BELGIUM","Printed woven fabrics of cotton, with >=85% cotton, >=200g/m2",508500,520,978,0
"GERMANY, F","Printed woven fabrics of cotton, with >=85% cotton, >=200g/m2",418680,30,13956,0
"ITALY","Printed woven fabrics of cotton, with >=85% cotton, >=200g/m2",3860932,952,4056,0
"UNITED KIN","Printed woven fabrics of cotton, with >=85% cotton, >=200g/m2",5154774,6779,760,0
"ITALY","Bleached woven cotton fabrics, nes, with <85% cotton, =<200g/m2",10980,10,1098,0
"UNITED STA","Bleached woven cotton fabrics, nes, with <85% cotton, =<200g/m2",3884864,5000,777,0
"UNITED KIN","Coloured woven cotton fabrics, nes, with <85% cotton, =<200g/m2",53489,30,1783,0
"GERMANY, F","Printed woven cotton fabrics, nes, with <85% cotton, =<200g/m2",16521335,10000,1652,0
"INDONESIA","Printed woven cotton fabrics, nes, with <85% cotton, =<200g/m2",17135111,14446,1186,0
"SINGAPORE","Printed woven cotton fabrics, nes, with <85% cotton, =<200g/m2",6772669,1500,4515,0
"UNITED KIN","Printed woven cotton fabrics, nes, with <85% cotton, =<200g/m2",9481546,8490,1117,0
"GERMANY, F","Dyed woven cotton fabrics, nes, with <85% cotton, >200g/m2",559504,102,5485,0
"GERMANY, F","Coloured woven cotton fabrics, nes, with <85% cotton, =<200g/m2",514456,120,4287,0
"HONG KONG","Coloured woven cotton fabrics, nes, with <85% cotton, =<200g/m2",500640,2080,241,0
"UNITED KIN","Coloured woven cotton fabrics, nes, with <85% cotton, =<200g/m2",133522,90,1484,0
"UNITED STA","Coloured woven cotton fabrics, nes, with <85% cotton, =<200g/m2",2811478,45,62477,0
"GERMANY, F","Bleached woven fabrics of cotton, =<200g/m2, nes",24705,10,2471,0
"UNITED KIN","Bleached woven fabrics of cotton, =<200g/m2, nes",37467,4,9367,0
"CHINA","Coloured woven fabrics of cotton, =<200g/m2, nes",38893114,13600,2860,0
"HONG KONG","Coloured woven fabrics of cotton, =<200g/m2, nes",1282395,990,1295,0
"UNITED KIN","Coloured woven fabrics of cotton, =<200g/m2, nes",1492784,1252,1192,0
"UNITED STA","Coloured woven fabrics of cotton, =<200g/m2, nes",16629847,23021,722,0
"BELGIUM","Printed woven fabrics of cotton, =<200g/m2",1576726,460,3428,0
"CHINA","Printed woven fabrics of cotton, =<200g/m2",112024597,21400,5235,0.01
"CZECHOSLOV","Printed woven fabrics of cotton, =<200g/m2",16823292,10559,1593,0
"FRANCE","Printed woven fabrics of cotton, =<200g/m2, nes",891102,196,4546,0
"GERMANY, F","Printed woven fabrics of cotton, =<200g/m2, nes",3394432,541,6274,0
"HONG KONG","Printed woven fabrics of cotton, =<200g/m2, nes",21136569,10900,1939,0
"ITALY","Printed woven fabrics of cotton, =<200g/m2, nes",622558,163,3819,0
"NETHERLAND","Printed woven fabrics of cotton, =<200g/m2, nes",2038506,255,7994,0
"NORWAY","Printed woven fabrics of cotton, =<200g/m2, nes",111447,14,7961,0
"SINGAPORE","Printed woven fabrics of cotton, =<200g/m2, nes",24451084,700,34930,0
"SPAIN","Printed woven fabrics of cotton, =<200g/m2, nes",410625,70,5866,0
"SWITZERLAN","Printed woven fabrics of cotton, =<200g/m2, nes",915075,83,11025,0
"UNITED KIN","Printed woven fabrics of cotton, =<200g/m2, nes",37141402,6055,6134,0
"UNITED STA","Printed woven fabrics of cotton, =<200g/m2, nes",52920,14,3780,0
"UNITED KIN","Bleached woven fabrics of cotton, >200g/m2, nes",2834303,428,6622,0
"NIGERIA","Coloured woven fabrics of cotton, >200g/m2, nes",400867,100,4009,0
"UNITED KIN","Coloured woven fabrics of cotton, >200g/m2, nes",5567855,1001,5562,0
"CANADA","Printed woven fabrics of cotton, >200g/m2, nes",936000,40,23400,0
"CHINA","Printed woven fabrics of cotton, >200g/m2, nes",81613600,16807,4856,0
"FRANCE","Printed woven fabrics of cotton, >200g/m2, nes",1366073,325,4203,0
"GERMANY, F","Printed woven fabrics of cotton, >200g/m2, nes",1023065,339,3018,0
"INDIA","Printed woven fabrics of cotton, >200g/m2, nes",24926475,11000,2266,0
"ITALY","Printed woven fabrics of cotton, >200g/m2, nes",394646,61,65470,0
"LIBYAN ARA","Printed woven fabrics of cotton, >200g/m2, nes",27045,100,270,0
"NETHERLAND","Printed woven fabrics of cotton, >200g/m2, nes",7452894,1253,5948,0
"SWITZERLAN","Printed woven fabrics of cotton, >200g/m2, nes",940701,310,3035,0
"UNITED KIN","Printed woven fabrics of cotton, >200g/m2, nes",16173943,4954,3265,0
"UNITED STA","Printed woven fabrics of cotton, >200g/m2, nes",113934,20,5697,0
"CHINA","Woven fabrics of high tenacity yarn of nylon… or of polyesters",1842075,260,7085,0
"GERMANY, F","Woven fabrics of high tenacity yarn of nylon… or of polyesters",1937023,1000,1937,0
"UNITED KIN","Woven fabrics of high tenacity yarn of nylon… or of polyesters",1527160,200,7636,0
"NETHERLAND","Woven fabrics of synthetic filament yarn, >=85% nylon…",943558,90,10484,0
"UNITED KIN","Woven fabrics of synthetic filament yarn, >=85% nylon…",678485,801,847,0
"BELGIUM","Woven fabrics of synthetic yarn, >=85% textured polyester",8560,3,2853,0
"TAIWAN, PR","Woven fabrics of synthetic yarn, >=85% textured polyester",232602025,1081142,215,0.01
"FRANCE","Woven fabrics of synthetic yarn, >=85% textured polyester",4207,200,21,0
"KOREA REPU","Woven fabrics of synthetic yarn, >=85% textured polyester",25463168,7000,3638,0
"SINGAPORE","Woven fabrics of synthetic yarn, >=85% textured polyester",13926372,4200,3316,0
"UNITED KIN","Woven fabrics of synthetic yarn, >=85% textured polyester",742836,200,3714,0
"UNITED STA","Woven fabrics of synthetic yarn, >=85% textured polyester",15191267,17800,853,0
"CHINA","Woven fabrics of synthetics yarn, >=85% non - textured polyester",16613352,14000,1187,0
"TAIWAN, PR","Woven fabrics of synthetics yarn, >=85% non - textured polyester",200546009,88928,2255,0.01
"INDIA","Woven fabrics of synthetics yarn, >=85% non - textured polyester",19033670,9660,1970,0
"KOREA REPU","Woven fabrics of synthetics yarn, >=85% non - textured polyester",55169997,8960,6157,0
"UNITED KIN","Woven fabrics of synthetics yarn, >=85% non - textured polyester",29449,40,736,0
"GERMANY, F","Woven fabrics, >=85% synthetic filaments, nes",523637,100,5326,0
"INDONESIA","Woven fabrics, >=85% synthetic filaments, nes",4914377,6139,801,0
"NETHERLAND","Woven fabrics, >=85% synthetic filaments, nes",683176,90,7591,0
"BELGIUM","Woven fabrics, <85% synthetic filaments, mixed with cotton",67813,150,453,0
"GERMANY, F","Woven fabrics, <85% synthetic filaments, mixed with cotton",1554770,180,8638,0
"INDONESIA","Woven fabrics, <85% synthetic filaments, mixed with cotton",6684000,9000,743,0
"FRANCE","Woven fabrics of synthetic filaments, nes",9630,3,3210,0
"GERMANY, F","Woven fabrics of synthetic filaments, nes",19232,32,601,0
"ITALY","Woven fabrics of synthetic filaments, nes",205078,45,4557,0
"NETHERLAND","Woven fabrics of synthetic filaments, nes",7632665,13336,572,0
"THAILAND","Woven fabrics of synthetic filaments, nes",338181,52,6503,0
"UNITED KIN","Woven fabrics of synthetic filaments, nes",273232,80,3415,0
"TAIWAN, PR","Woven fabrics, <85% polyester staple fibres",12441301,8550,1455,0
"GERMANY, F","Woven fabrics, <85% polyester staple fibres",80957353,56081,1444,0
"INDONESIA","Woven fabrics, <85% polyester staple fibres",25785905,17515,1472,0
"MOROCO","Woven fabrics, <85% polyester staple fibres",350262,400,876,0
"UNITED STA","Woven fabrics, <85% polyester staple fibres",10870287,11000,988,0
"CHINA","Woven fabrics, <85% polyester staple fibres and cotton, =<170g/m2",915506766,294455,3109,0.05
"TAIWAN, PR","Woven fabrics, <85% polyester staple fibres and cotton, =<170g/m2",7089997,10000,709,0
"DEMARK","Woven fabrics, <85% polyester staple fibres and cotton, =<170g/m2",202537,37,5474,0
"GERMANY, F","Woven fabrics, <85% polyester staple fibres and cotton, =<170g/m2",2215679,590,3755,0
"HONG KONG","Woven fabrics, <85% polyester staple fibres and cotton, =<170g/m2",62815725,42900,1464,0
"INDIA","Woven fabrics, <85% polyester staple fibres and cotton, =<170g/m2.",3342493,850,3932,0
"INDONESIA","Woven fabrics, <85% polyester staple fibres and cotton, =<170g/m2",144093218,60110,2397,0.01
"JAPAN","Woven fabrics, <85% polyester staple fibres and cotton, =<170g/m",8019960,3910,2051,0
"UNITED KIN","Woven fabrics, <85% polyester staple fibres and cotton, =<170g/m2",34014828,9741,3492,0
"TANZANIA","Woven fabrics, <85% polyester staple fibres and cotton, =<170g/m2",1552720,833,1864,0
"UNITED STA","Woven fabrics, <85% polyester staple fibres and cotton, =<170g/m2",11922037,9090,1312,0
"GERMANY, F","Woven fabrics, <85% other staple fibres and cotton, =<170g/m2",9599299,1480,6486,0
"NETHERLAND","Woven fabrics, <85% other staple fibres and cotton, =<170g/m2",89962,62,1451,0
"SINGAPORE","Woven fabrics, <85% other staple fibres and cotton, =<170g/m2",1426173,5343510,0,0
"USSR","Woven fabrics, <85% other staple fibres and cotton, =<170g/m2",19632360,34180,574,0
"UNITED KIN","Woven fabrics, <85% other staple fibres and cotton, =<170g/m",3177644,1825,1741,0
"BELGIUM","Woven fabrics, <85% polyester staple fibres and cotton, =<170g/m2",125008,45,2778,0
"GERMANY, F","Woven fabrics, <85% polyester staple fibres and cotton, =<170g/m2",9525249,8000,1191,0
"SWITZERLAN","Woven fabrics, <85% polyester staple fibres and cotton, =<170g/m2",3765724,24000,157,0
"UNITED KIN","Woven fabrics, <85% polyester staple fibres and cotton, =<170g/m2",2991342,790,3787,0
"UNITED STA","Woven fabrics, <85% polyester staple fibres and cotton, =<170g/m2",105115343,134205,783,0.01
"BELGIUM","Woven fabrics, <85% other staple fibres and cotton, >170g/m2",94958,15,6331,0
"CANADA","Woven fabrics, <85% other staple fibres and cotton, >170g/m2",47520,10,4752,0
"HONG KONG","Woven fabrics, <85% other staple fibres and cotton, >170g/m2",11191236,7813,1432,0
"INDONESIA","Woven fabrics, <85% other staple fibres and cotton, >170g/m2",17196364,17118,1005,0
"SAUDI ARAB","Woven fabrics, <85% other staple fibres and cotton, >170g/m2",14546003,11755,1237,0
"SINGAPORE","Woven fabrics, <85% other staple fibres and cotton, >170g/m2",32098208,28000,1146,0
"UNITED KIN","Woven fabrics, <85% other staple fibres and cotton, >170g/m2",19520501,2326,8392,0
"GERMANY, F","Woven fabrics, <85% synthetic staple fibres, with wool or fine hair",13297125,6000,2216,0
"INDONESIA","Woven fabrics, <85% synthetic staple fibres, with wool or fine hair",11378733,15327,742,0
"NETHERLAND","Woven fabrics, <85% synthetic staple fibres, with wool or fine hair",11230286,5000,2246,0
"UNITED STA","Woven fabrics, <85% synthetic staple fibres, with wool or fine hair",8786484,3600,2441,0
"THAILAND","Woven fabrics, <85% synthetic staple fibres, with man-made filaments",3311510,890,3721,0
"UNITED STA","Woven fabrics, <85% synthetic staple fibres, with man-made filaments",20549392,12000,1712,0
"GERMANY, F","Woven fabrics, <85% synthetic staple fibres, nes",9337080,16000,584,0
"HONG KONG","Woven fabrics, <85% synthetic staple fibres, nes",30651,150,204,0
"NETHERLAND","Woven fabrics, <85% synthetic staple fibres, nes",10826842,18000,601,0
"UNITED KIN","Woven fabrics, <85% synthetic staple fibres, nes",24265036,10200,2379,0
"UNITED STA","Woven fabrics, <85% synthetic staple fibres, nes",31382417,32547,964,0
"THAILAND","Woven fabrics obtained from high tenacity yarn of viscose rayon",3228572,560,5765,0
"UNITED KIN","Woven fabrics obtained from high tenacity yarn of viscose rayon",62729,100,627,0
"UNITED STA","Woven fabrics obtained from high tenacity yarn of viscose rayon",325141,350,929,0
"CHINA","Woven fabrics, >=85% artificial filaments",6190300,62121,100,0
"GAMBIA","Woven fabrics, >=85% artificial filaments",1226641,240,5111,0
"INDIA","Woven fabrics, >=85% artificial filaments",28060069,1453,1931,0
"SWITZERLAN","Woven fabrics, >=85% artificial filaments",54090,10,5409,0
"UNITED KIN","Woven fabrics, >=85% artificial filaments",605766,170,3563,0
